x = 0.25	y = 0.894427	f = 0.894427
x = 0.255	y = 0.892644	f = 0.892644
x = 0.26	y = 0.890871	f = 0.890871
x = 0.265	y = 0.889108	f = 0.889108
x = 0.27	y = 0.887357	f = 0.887357
x = 0.275	y = 0.885615	f = 0.885615
x = 0.28	y = 0.883883	f = 0.883883
x = 0.285	y = 0.882162	f = 0.882162
x = 0.29	y = 0.880451	f = 0.880451
x = 0.295	y = 0.87875	f = 0.87875
x = 0.3	y = 0.877058	f = 0.877058
x = 0.305	y = 0.875376	f = 0.875376
x = 0.31	y = 0.873704	f = 0.873704
x = 0.315	y = 0.872041	f = 0.872041
x = 0.32	y = 0.870388	f = 0.870388
x = 0.325	y = 0.868744	f = 0.868744
x = 0.33	y = 0.86711	f = 0.86711
x = 0.335	y = 0.865485	f = 0.865485
x = 0.34	y = 0.863868	f = 0.863868
x = 0.345	y = 0.862261	f = 0.862261
x = 0.35	y = 0.860663	f = 0.860663
x = 0.355	y = 0.859074	f = 0.859074
x = 0.36	y = 0.857493	f = 0.857493
x = 0.365	y = 0.855921	f = 0.855921
x = 0.37	y = 0.854358	f = 0.854358
x = 0.375	y = 0.852803	f = 0.852803
x = 0.38	y = 0.851257	f = 0.851257
x = 0.385	y = 0.849719	f = 0.849719
x = 0.39	y = 0.848189	f = 0.848189
x = 0.395	y = 0.846668	f = 0.846668
x = 0.4	y = 0.845154	f = 0.845154
x = 0.405	y = 0.843649	f = 0.843649
x = 0.41	y = 0.842152	f = 0.842152
x = 0.415	y = 0.840663	f = 0.840663
x = 0.42	y = 0.839181	f = 0.839181
x = 0.425	y = 0.837708	f = 0.837708
x = 0.43	y = 0.836242	f = 0.836242
x = 0.435	y = 0.834784	f = 0.834784
x = 0.44	y = 0.833333	f = 0.833333
x = 0.445	y = 0.83189	f = 0.83189
x = 0.45	y = 0.830455	f = 0.830455
x = 0.455	y = 0.829027	f = 0.829027
x = 0.46	y = 0.827606	f = 0.827606
x = 0.465	y = 0.826192	f = 0.826192
x = 0.47	y = 0.824786	f = 0.824786
x = 0.475	y = 0.823387	f = 0.823387
x = 0.48	y = 0.821995	f = 0.821995
x = 0.485	y = 0.82061	f = 0.82061
x = 0.49	y = 0.819232	f = 0.819232
x = 0.495	y = 0.817861	f = 0.817861
x = 0.5	y = 0.816497	f = 0.816497
