x = 0	y = 1	f = 1
x = 0.005	y = 0.997509	f = 0.997509
x = 0.01	y = 0.995037	f = 0.995037
x = 0.015	y = 0.992583	f = 0.992583
x = 0.02	y = 0.990148	f = 0.990148
x = 0.025	y = 0.98773	f = 0.98773
x = 0.03	y = 0.985329	f = 0.985329
x = 0.035	y = 0.982946	f = 0.982946
x = 0.04	y = 0.980581	f = 0.980581
x = 0.045	y = 0.978232	f = 0.978232
x = 0.05	y = 0.9759	f = 0.9759
x = 0.055	y = 0.973585	f = 0.973585
x = 0.06	y = 0.971286	f = 0.971286
x = 0.065	y = 0.969003	f = 0.969003
x = 0.07	y = 0.966736	f = 0.966736
x = 0.075	y = 0.964486	f = 0.964486
x = 0.08	y = 0.96225	f = 0.96225
x = 0.085	y = 0.960031	f = 0.960031
x = 0.09	y = 0.957826	f = 0.957826
x = 0.095	y = 0.955637	f = 0.955637
x = 0.1	y = 0.953463	f = 0.953463
x = 0.105	y = 0.951303	f = 0.951303
x = 0.11	y = 0.949158	f = 0.949158
x = 0.115	y = 0.947027	f = 0.947027
x = 0.12	y = 0.944911	f = 0.944911
x = 0.125	y = 0.942809	f = 0.942809
